#MetaNetX/TSV/peptides.tsv 1.1
#ID	description	xrefs	gene_names
b0030	rihC	asap:ABE-0000109;ecogene:EG11082;ncbigene:944796;ncbigi:16128024;refseq_locus_tag:b0030;refseq_name:rihC;refseq_synonym:ECK0031;refseq_synonym:JW0028;refseq_synonym:yaaF;uniprot:P22564	b0030
b0031	dapB	asap:ABE-0000112;ecogene:EG10206;ncbigene:944762;ncbigi:16128025;refseq_locus_tag:b0031;refseq_name:dapB;refseq_synonym:ECK0032;refseq_synonym:JW0029;uniprot:P04036	b0031
b0032	carA	asap:ABE-0000118;ecogene:EG10134;ncbigene:949025;ncbigi:16128026;refseq_locus_tag:b0032;refseq_name:carA;refseq_synonym:ECK0033;refseq_synonym:JW0030;refseq_synonym:arg;refseq_synonym:cap;refseq_synonym:pyrA;uniprot:P0A6F1	b0032
b0033	carB	asap:ABE-0000121;ecogene:EG10135;ncbigene:944775;ncbigi:16128027;refseq_locus_tag:b0033;refseq_name:carB;refseq_synonym:ECK0034;refseq_synonym:JW0031;refseq_synonym:cap;refseq_synonym:pyrA;uniprot:P00968	b0033
b0036	caiD	asap:ABE-0000130;ecogene:EG11557;ncbigene:948995;ncbigi:221800779;refseq_locus_tag:b0036;refseq_name:caiD;refseq_synonym:ECK0037;refseq_synonym:JW0035;refseq_synonym:yaaL;uniprot:P31551	b0036
b0037	caiC	asap:ABE-0000133;ecogene:EG11558;ncbigene:944886;ncbigi:221800780;refseq_locus_tag:b0037;refseq_name:caiC;refseq_synonym:ECK0038;refseq_synonym:JW0036;refseq_synonym:yaaM;uniprot:P31552	b0037
b0038	caiB	asap:ABE-0000136;ecogene:EG11559;ncbigene:948997;ncbigi:16128032;refseq_locus_tag:b0038;refseq_name:caiB;refseq_synonym:ECK0039;refseq_synonym:JW0037;refseq_synonym:yaaN;uniprot:P31572	b0038
b0040	caiT	asap:ABE-0000141;ecogene:EG11561;ncbigene:944765;ncbigi:16128034;refseq_locus_tag:b0040;refseq_name:caiT;refseq_synonym:ECK0041;refseq_synonym:JW0039;refseq_synonym:yaaP;uniprot:P31553	b0040
b0046	kefF	asap:ABE-0000159;ecogene:EG11568;ncbigene:944767;ncbigi:16128040;refseq_locus_tag:b0046;refseq_name:kefF;refseq_synonym:ECK0047;refseq_synonym:JW0045;refseq_synonym:yabF;uniprot:P0A754	b0046
b0047	kefC	asap:ABE-0000161;ecogene:EG10521;ncbigene:944773;ncbigi:16128041;refseq_locus_tag:b0047;refseq_name:kefC;refseq_synonym:ECK0048;refseq_synonym:JW0046;refseq_synonym:trkC;uniprot:P03819	b0047
b0048	folA	asap:ABE-0000164;ecogene:EG10326;ncbigene:944790;ncbigi:16128042;refseq_locus_tag:b0048;refseq_name:folA;refseq_synonym:ECK0049;refseq_synonym:JW0047;refseq_synonym:tmrA;uniprot:P0ABQ4	b0048
b0049	apaH	asap:ABE-0000167;ecogene:EG10048;ncbigene:944770;ncbigi:16128043;refseq_locus_tag:b0049;refseq_name:apaH;refseq_synonym:ECK0050;refseq_synonym:JW0048;refseq_synonym:cfcB;uniprot:P05637	b0049
b0052	pdxA	asap:ABE-0000178;ecogene:EG10691;ncbigene:944919;ncbigi:16128046;refseq_locus_tag:b0052;refseq_name:pdxA;refseq_synonym:ECK0053;refseq_synonym:JW0051;uniprot:P19624	b0052
b0054	lptD	asap:ABE-0000183;ecogene:EG11569;ncbigene:945011;ncbigi:16128048;refseq_locus_tag:b0054;refseq_name:lptD;refseq_synonym:ECK0055;refseq_synonym:JW0053;refseq_synonym:imp;refseq_synonym:ostA;refseq_synonym:yabG;uniprot:P31554	b0054
b0061	araD	asap:ABE-0000209;ecogene:EG10055;ncbigene:945294;ncbigi:16128055;refseq_locus_tag:b0061;refseq_name:araD;refseq_synonym:ECK0062;refseq_synonym:JW0060;uniprot:P08203	b0061
b0062	araA	asap:ABE-0000221;ecogene:EG10052;ncbigene:947511;ncbigi:16128056;refseq_locus_tag:b0062;refseq_name:araA;refseq_synonym:ECK0063;refseq_synonym:JW0061;uniprot:P08202	b0062
b0063	araB	asap:ABE-0000223;ecogene:EG10053;ncbigene:946017;ncbigi:16128057;refseq_locus_tag:b0063;refseq_name:araB;refseq_synonym:ECK0064;refseq_synonym:JW0062;uniprot:P08204	b0063
b0066	thiQ	asap:ABE-0000244;ecogene:EG11572;ncbigene:944785;ncbigi:16128060;refseq_locus_tag:b0066;refseq_name:thiQ;refseq_synonym:ECK0067;refseq_synonym:JW0065;refseq_synonym:sfuC;refseq_synonym:yabJ;uniprot:P31548	b0066
b0067	thiP	asap:ABE-0000246;ecogene:EG11573;ncbigene:944784;ncbigi:16128061;refseq_locus_tag:b0067;refseq_name:thiP;refseq_synonym:ECK0068;refseq_synonym:JW0066;refseq_synonym:sfuB;refseq_synonym:yabK;uniprot:P31549	b0067
b0068	thiB	asap:ABE-0000249;ecogene:EG11574;ncbigene:946306;ncbigi:16128062;refseq_locus_tag:b0068;refseq_name:thiB;refseq_synonym:ECK0069;refseq_synonym:JW0067;refseq_synonym:sfuA;refseq_synonym:tbpA;refseq_synonym:yabL;uniprot:P31550	b0068
b0070	setA	asap:ABE-0000257;ecogene:EG11754;ncbigene:944793;ncbigi:49175994;refseq_locus_tag:b0070;refseq_name:setA;refseq_synonym:ECK0072;refseq_synonym:JW0069;refseq_synonym:yabM;uniprot:P31675	b0070
b0071	leuD	asap:ABE-0000259;ecogene:EG11575;ncbigene:945642;ncbigi:16128065;refseq_locus_tag:b0071;refseq_name:leuD;refseq_synonym:ECK0073;refseq_synonym:JW0070;uniprot:P30126	b0071
b0072	leuC	asap:ABE-0000261;ecogene:EG11576;ncbigene:945076;ncbigi:16128066;refseq_locus_tag:b0072;refseq_name:leuC;refseq_synonym:ECK0074;refseq_synonym:JW0071;uniprot:P0A6A6	b0072
b0073	leuB	asap:ABE-0000265;ecogene:EG11577;ncbigene:944798;ncbigi:90111082;refseq_locus_tag:b0073;refseq_name:leuB;refseq_synonym:ECK0075;refseq_synonym:JW5807;uniprot:P30125	b0073
b0074	leuA	asap:ABE-0000267;ecogene:EG11226;ncbigene:947465;ncbigi:16128068;refseq_locus_tag:b0074;refseq_name:leuA;refseq_synonym:ECK0076;refseq_synonym:JW0073;uniprot:P09151	b0074
b0077	ilvI	asap:ABE-0000290;ecogene:EG10500;ncbigene:948793;ncbigi:90111084;refseq_locus_tag:b0077;refseq_name:ilvI;refseq_synonym:ECK0079;refseq_synonym:JW0076;uniprot:P00893	b0077
b0078	ilvH	asap:ABE-0000294;ecogene:EG10499;ncbigene:947267;ncbigi:16128071;refseq_locus_tag:b0078;refseq_name:ilvH;refseq_synonym:ECK0080;refseq_synonym:JW0077;refseq_synonym:brnP;uniprot:P00894	b0078
b0084	ftsI	asap:ABE-0000309;ecogene:EG10341;ncbigene:944799;ncbigi:16128077;refseq_locus_tag:b0084;refseq_name:ftsI;refseq_synonym:ECK0085;refseq_synonym:JW0082;refseq_synonym:pbpB;refseq_synonym:sep;uniprot:P0AD68	b0084
b0085	murE	asap:ABE-0000311;ecogene:EG10621;ncbigene:944791;ncbigi:16128078;refseq_locus_tag:b0085;refseq_name:murE;refseq_synonym:ECK0086;refseq_synonym:JW0083;uniprot:P22188	b0085
b0086	murF	asap:ABE-0000313;ecogene:EG10622;ncbigene:944813;ncbigi:16128079;refseq_locus_tag:b0086;refseq_name:murF;refseq_synonym:ECK0087;refseq_synonym:JW0084;refseq_synonym:mra;uniprot:P11880	b0086
b0087	mraY	asap:ABE-0000316;ecogene:EG10604;ncbigene:944814;ncbigi:16128080;refseq_locus_tag:b0087;refseq_name:mraY;refseq_synonym:ECK0088;refseq_synonym:JW0085;refseq_synonym:murX;uniprot:P0A6W3	b0087
b0088	murD	asap:ABE-0000318;ecogene:EG10620;ncbigene:944818;ncbigi:16128081;refseq_locus_tag:b0088;refseq_name:murD;refseq_synonym:ECK0089;refseq_synonym:JW0086;uniprot:P14900	b0088
b0089	ftsW	asap:ABE-0000320;ecogene:EG10344;ncbigene:946322;ncbigi:16128082;refseq_locus_tag:b0089;refseq_name:ftsW;refseq_synonym:ECK0090;refseq_synonym:JW0087;uniprot:P0ABG4	b0089
b0090	murG	asap:ABE-0000322;ecogene:EG10623;ncbigene:946321;ncbigi:16128083;refseq_locus_tag:b0090;refseq_name:murG;refseq_synonym:ECK0091;refseq_synonym:JW0088;uniprot:P17443	b0090
b0091	murC	asap:ABE-0000324;ecogene:EG10619;ncbigene:946153;ncbigi:16128084;refseq_locus_tag:b0091;refseq_name:murC;refseq_synonym:ECK0092;refseq_synonym:JW0089;uniprot:P17952	b0091
b0092	ddlB	asap:ABE-0000326;ecogene:EG10214;ncbigene:946324;ncbigi:16128085;refseq_locus_tag:b0092;refseq_name:ddlB;refseq_synonym:ECK0093;refseq_synonym:JW0090;refseq_synonym:ddl;uniprot:P07862	b0092
b0096	lpxC	asap:ABE-0000336;ecogene:EG10265;ncbigene:944816;ncbigi:16128089;refseq_locus_tag:b0096;refseq_name:lpxC;refseq_synonym:ECK0097;refseq_synonym:JW0094;refseq_synonym:asmB;refseq_synonym:envA;uniprot:P0A725	b0096
b0099	mutT	asap:ABE-0000346;ecogene:EG10626;ncbigene:944824;ncbigi:16128092;refseq_locus_tag:b0099;refseq_name:mutT;refseq_synonym:ECK0100;refseq_synonym:JW0097;refseq_synonym:nudA;uniprot:P08337	b0099
b0103	coaE	asap:ABE-0000357;ecogene:EG12312;ncbigene:949060;ncbigi:16128096;refseq_locus_tag:b0103;refseq_name:coaE;refseq_synonym:ECK0103;refseq_synonym:JW0100;refseq_synonym:yacE;uniprot:P0A6I9	b0103
b0104	guaC	asap:ABE-0000362;ecogene:EG10422;ncbigene:948986;ncbigi:16128097;refseq_locus_tag:b0104;refseq_name:guaC;refseq_synonym:ECK0104;refseq_synonym:JW0101;uniprot:P60560	b0104
b0109	nadC	asap:ABE-0000374;ecogene:EG11546;ncbigene:948869;ncbigi:16128102;refseq_locus_tag:b0109;refseq_name:nadC;refseq_synonym:ECK0108;refseq_synonym:JW0105;uniprot:P30011	b0109
b0110	ampD	asap:ABE-0000380;ecogene:EG10041;ncbigene:948877;ncbigi:16128103;refseq_locus_tag:b0110;refseq_name:ampD;refseq_synonym:ECK0109;refseq_synonym:JW0106;uniprot:P13016	b0110
b0112	aroP	asap:ABE-0000384;ecogene:EG10084;ncbigene:946018;ncbigi:16128105;refseq_locus_tag:b0112;refseq_name:aroP;refseq_synonym:ECK0111;refseq_synonym:JW0108;uniprot:P15993	b0112
b0114	aceE	asap:ABE-0000397;ecogene:EG10024;ncbigene:944834;ncbigi:16128107;refseq_locus_tag:b0114;refseq_name:aceE;refseq_synonym:ECK0113;refseq_synonym:JW0110;uniprot:P0AFG8	b0114
b0115	aceF	asap:ABE-0000400;ecogene:EG10025;ncbigene:944794;ncbigi:16128108;refseq_locus_tag:b0115;refseq_name:aceF;refseq_synonym:ECK0114;refseq_synonym:JW0111;uniprot:P06959	b0115
b0116	lpd	asap:ABE-0000404;ecogene:EG10543;ncbigene:944854;ncbigi:16128109;refseq_locus_tag:b0116;refseq_name:lpd;refseq_synonym:ECK0115;refseq_synonym:JW0112;refseq_synonym:dhl;refseq_synonym:lpdA;uniprot:P0A9P0	b0116
b0118	acnB	asap:ABE-0000411;ecogene:EG12316;ncbigene:944864;ncbigi:16128111;refseq_locus_tag:b0118;refseq_name:acnB;refseq_synonym:ECK0117;refseq_synonym:JW0114;refseq_synonym:yacI;refseq_synonym:yacJ;uniprot:P36683	b0118
b0120	speD	asap:ABE-0000416;ecogene:EG10962;ncbigene:947719;ncbigi:16128113;refseq_locus_tag:b0120;refseq_name:speD;refseq_synonym:ECK0119;refseq_synonym:JW0116;uniprot:P0A7F6	b0120
b0121	speE	asap:ABE-0000418;ecogene:EG10963;ncbigene:947726;ncbigi:16128114;refseq_locus_tag:b0121;refseq_name:speE;refseq_synonym:ECK0120;refseq_synonym:JW0117;uniprot:P09158	b0121
b0123	cueO	asap:ABE-0000430;ecogene:EG12318;ncbigene:947736;ncbigi:16128116;refseq_locus_tag:b0123;refseq_name:cueO;refseq_synonym:ECK0122;refseq_synonym:JW0119;refseq_synonym:cuiD;refseq_synonym:yacK;uniprot:P36649	b0123
b0124	gcd	asap:ABE-0000433;ecogene:EG10369;ncbigene:944830;ncbigi:16128117;refseq_locus_tag:b0124;refseq_name:gcd;refseq_synonym:ECK0123;refseq_synonym:JW0120;uniprot:P15877	b0124
b0125	hpt	asap:ABE-0000440;ecogene:EG20098;ncbigene:946624;ncbigi:90111088;refseq_locus_tag:b0125;refseq_name:hpt;refseq_synonym:ECK0124;refseq_synonym:JW5009;uniprot:P0A9M2	b0125
b0126	can	asap:ABE-0000442;ecogene:EG12319;ncbigene:944832;ncbigi:16128119;refseq_locus_tag:b0126;refseq_name:can;refseq_synonym:ECK0125;refseq_synonym:JW0122;refseq_synonym:yadF;uniprot:P61517	b0126
b0131	panD	asap:ABE-0000459;ecogene:EG11747;ncbigene:945686;ncbigi:16128124;refseq_locus_tag:b0131;refseq_name:panD;refseq_synonym:ECK0130;refseq_synonym:JW0127;uniprot:P0A790	b0131
b0133	panC	asap:ABE-0000465;ecogene:EG11746;ncbigene:944958;ncbigi:16128126;refseq_locus_tag:b0133;refseq_name:panC;refseq_synonym:ECK0132;refseq_synonym:JW0129;uniprot:P31663	b0133
b0134	panB	asap:ABE-0000467;ecogene:EG11675;ncbigene:944839;ncbigi:16128127;refseq_locus_tag:b0134;refseq_name:panB;refseq_synonym:ECK0133;refseq_synonym:JW0130;refseq_synonym:panA;uniprot:P31057	b0134
b0142	folK	asap:ABE-0000491;ecogene:EG11374;ncbigene:948792;ncbigi:16128135;refseq_locus_tag:b0142;refseq_name:folK;refseq_synonym:ECK0141;refseq_synonym:JW0138;uniprot:P26281	b0142
b0149	mrcB	asap:ABE-0000516;ecogene:EG10605;ncbigene:944843;ncbigi:16128142;refseq_locus_tag:b0149;refseq_name:mrcB;refseq_synonym:ECK0148;refseq_synonym:JW0145;refseq_synonym:pbpF;refseq_synonym:ponB;uniprot:P02919	b0149
b0150	fhuA	asap:ABE-0000520;ecogene:EG10302;ncbigene:944856;ncbigi:16128143;refseq_locus_tag:b0150;refseq_name:fhuA;refseq_synonym:ECK0149;refseq_synonym:JW0146;refseq_synonym:T1;refseq_synonym:tonA;uniprot:P06971	b0150
b0151	fhuC	asap:ABE-0000522;ecogene:EG10304;ncbigene:945250;ncbigi:16128144;refseq_locus_tag:b0151;refseq_name:fhuC;refseq_synonym:ECK0150;refseq_synonym:JW0147;uniprot:P07821	b0151
b0152	fhuD	asap:ABE-0000524;ecogene:EG10305;ncbigene:947510;ncbigi:16128145;refseq_locus_tag:b0152;refseq_name:fhuD;refseq_synonym:ECK0151;refseq_synonym:JW0148;uniprot:P07822	b0152
b0153	fhuB	asap:ABE-0000526;ecogene:EG10303;ncbigene:946890;ncbigi:16128146;refseq_locus_tag:b0153;refseq_name:fhuB;refseq_synonym:ECK0152;refseq_synonym:JW0149;uniprot:P06972	b0153
b0154	hemL	asap:ABE-0000529;ecogene:EG10432;ncbigene:946892;ncbigi:16128147;refseq_locus_tag:b0154;refseq_name:hemL;refseq_synonym:ECK0153;refseq_synonym:JW0150;refseq_synonym:gsa?;refseq_synonym:popC;uniprot:P23893	b0154
b0155	clcA	asap:ABE-0000533;ecogene:EG12331;ncbigene:946715;ncbigi:16128148;refseq_locus_tag:b0155;refseq_name:clcA;refseq_synonym:ECK0154;refseq_synonym:JW5012;refseq_synonym:eriC;refseq_synonym:yadQ;uniprot:P37019	b0155
b0158	btuF	asap:ABE-0000542;ecogene:EG12334;ncbigene:947574;ncbigi:16128151;refseq_locus_tag:b0158;refseq_name:btuF;refseq_synonym:ECK0157;refseq_synonym:JW0154;refseq_synonym:yadT;uniprot:P37028	b0158
b0159	mtn	asap:ABE-0000545;ecogene:EG11090;ncbigene:948542;ncbigi:16128152;refseq_locus_tag:b0159;refseq_name:mtn;refseq_synonym:ECK0158;refseq_synonym:JW0155;refseq_synonym:mtnN;refseq_synonym:pfs;refseq_synonym:yadA;uniprot:P0AF12	b0159
b0160	dgt	asap:ABE-0000548;ecogene:EG10225;ncbigene:947177;ncbigi:16128153;refseq_locus_tag:b0160;refseq_name:dgt;refseq_synonym:ECK0159;refseq_synonym:JW0156;refseq_synonym:optA;uniprot:P15723	b0160
b0166	dapD	asap:ABE-0000565;ecogene:EG10207;ncbigene:944862;ncbigi:16128159;refseq_locus_tag:b0166;refseq_name:dapD;refseq_synonym:ECK0164;refseq_synonym:JW0161;refseq_synonym:ssa;uniprot:P0A9D8	b0166
b0171	pyrH	asap:ABE-0000582;ecogene:EG11539;ncbigene:944989;ncbigi:16128164;refseq_locus_tag:b0171;refseq_name:pyrH;refseq_synonym:ECK0170;refseq_synonym:JW0166;refseq_synonym:smbA;refseq_synonym:umk;uniprot:P0A7E9	b0171
b0173	dxr	asap:ABE-0000592;ecogene:EG12715;ncbigene:945019;ncbigi:16128166;refseq_locus_tag:b0173;refseq_name:dxr;refseq_synonym:ECK0172;refseq_synonym:JW0168;refseq_synonym:ispC;refseq_synonym:yaeM;uniprot:P45568	b0173
b0174	ispU	asap:ABE-0000595;ecogene:EG13329;ncbigene:944874;ncbigi:16128167;refseq_locus_tag:b0174;refseq_name:ispU;refseq_synonym:ECK0173;refseq_synonym:JW0169;refseq_synonym:rth;refseq_synonym:uppS;refseq_synonym:yaeS;uniprot:P60472	b0174
b0175	cdsA	asap:ABE-0000600;ecogene:EG10139;ncbigene:944876;ncbigi:90111095;refseq_locus_tag:b0175;refseq_name:cdsA;refseq_synonym:ECK0174;refseq_synonym:JW5810;uniprot:P0ABG1	b0175
b0179	lpxD	asap:ABE-0000610;ecogene:EG10316;ncbigene:944882;ncbigi:16128172;refseq_locus_tag:b0179;refseq_name:lpxD;refseq_synonym:ECK0178;refseq_synonym:JW0174;refseq_synonym:firA;refseq_synonym:omsA;refseq_synonym:ssc;uniprot:P21645	b0179
b0180	fabZ	asap:ABE-0000613;ecogene:EG11284;ncbigene:944888;ncbigi:16128173;refseq_locus_tag:b0180;refseq_name:fabZ;refseq_synonym:ECK0179;refseq_synonym:JW0175;refseq_synonym:sabA;refseq_synonym:sefA;refseq_synonym:sfhC;refseq_synonym:yaeA;uniprot:P0A6Q6	b0180
b0181	lpxA	asap:ABE-0000618;ecogene:EG10545;ncbigene:944849;ncbigi:16128174;refseq_locus_tag:b0181;refseq_name:lpxA;refseq_synonym:ECK0180;refseq_synonym:JW0176;uniprot:P0A722	b0181
b0182	lpxB	asap:ABE-0000620;ecogene:EG10546;ncbigene:944838;ncbigi:16128175;refseq_locus_tag:b0182;refseq_name:lpxB;refseq_synonym:ECK0181;refseq_synonym:JW0177;refseq_synonym:pgsB;uniprot:P10441	b0182
b0185	accA	asap:ABE-0000630;ecogene:EG11647;ncbigene:944895;ncbigi:16128178;refseq_locus_tag:b0185;refseq_name:accA;refseq_synonym:ECK0184;refseq_synonym:JW0180;uniprot:P0ABD5	b0185
b0186	ldcC	asap:ABE-0000633;ecogene:EG13219;ncbigene:944887;ncbigi:16128179;refseq_locus_tag:b0186;refseq_name:ldcC;refseq_synonym:ECK0185;refseq_synonym:JW0181;refseq_synonym:LDC2;refseq_synonym:ldc;refseq_synonym:ldcH;uniprot:P52095	b0186
b0197	metQ	asap:ABE-0000666;ecogene:EG11504;ncbigene:944893;ncbigi:16128190;refseq_locus_tag:b0197;refseq_name:metQ;refseq_synonym:ECK0197;refseq_synonym:JW0193;refseq_synonym:metD;refseq_synonym:yaeC;uniprot:P28635	b0197
b0198	metI	asap:ABE-0000668;ecogene:EG11737;ncbigene:944894;ncbigi:16128191;refseq_locus_tag:b0198;refseq_name:metI;refseq_synonym:ECK0198;refseq_synonym:JW0194;refseq_synonym:metD;refseq_synonym:yaeE;uniprot:P31547	b0198
b0199	metN	asap:ABE-0000671;ecogene:EG11621;ncbigene:944896;ncbigi:16128192;refseq_locus_tag:b0199;refseq_name:metN;refseq_synonym:ECK0199;refseq_synonym:JW0195;refseq_synonym:abc;refseq_synonym:metD;uniprot:P30750	b0199
b0200	gmhB	asap:ABE-0000675;ecogene:EG11736;ncbigene:944879;ncbigi:16128193;refseq_locus_tag:b0200;refseq_name:gmhB;refseq_synonym:ECK0200;refseq_synonym:JW0196;refseq_synonym:gmbC;refseq_synonym:gmbX;refseq_synonym:gmhX;refseq_synonym:wcbN;refseq_synonym:yaeD;uniprot:P63228	b0200
b0207	dkgB	asap:ABE-0000692;ecogene:EG11648;ncbigene:944901;ncbigi:16128194;refseq_locus_tag:b0207;refseq_name:dkgB;refseq_synonym:ECK0207;refseq_synonym:JW0197;refseq_synonym:yafB;uniprot:P30863	b0207
b0211	mltD	asap:ABE-0000704;ecogene:EG10246;ncbigene:945694;ncbigi:16128198;refseq_locus_tag:b0211;refseq_name:mltD;refseq_synonym:ECK0211;refseq_synonym:JW5018;refseq_synonym:dniR;refseq_synonym:yafG;uniprot:P0AEZ7	b0211
b0212	gloB	asap:ABE-0000707;ecogene:EG13330;ncbigene:944902;ncbigi:16128199;refseq_locus_tag:b0212;refseq_name:gloB;refseq_synonym:ECK0212;refseq_synonym:JW0202;refseq_synonym:yafR;uniprot:P0AC84	b0212
b0221	fadE	asap:ABE-0000743;ecogene:EG13145;ncbigene:949007;ncbigi:90111100;refseq_locus_tag:b0221;refseq_name:fadE;refseq_synonym:ECK0222;refseq_synonym:JW5020;refseq_synonym:fadF;refseq_synonym:yafH;uniprot:Q47146	b0221
b0222	gmhA	asap:ABE-0000751;ecogene:EG13146;ncbigene:949134;ncbigi:16128208;refseq_locus_tag:b0222;refseq_name:gmhA;refseq_synonym:ECK0223;refseq_synonym:JW0212;refseq_synonym:isn;refseq_synonym:lpcA;refseq_synonym:tfrA;refseq_synonym:yafI;uniprot:P63224	b0222
b0237	pepD	asap:ABE-0000809;ecogene:EG10695;ncbigene:945013;ncbigi:16128223;refseq_locus_tag:b0237;refseq_name:pepD;refseq_synonym:ECK0238;refseq_synonym:JW0227;refseq_synonym:pepH;uniprot:P15288	b0237
b0238	gpt	asap:ABE-0000814;ecogene:EG10414;ncbigene:944817;ncbigi:16128224;refseq_locus_tag:b0238;refseq_name:gpt;refseq_synonym:ECK0239;refseq_synonym:JW0228;refseq_synonym:gpp;refseq_synonym:gxu;uniprot:P0A9M5	b0238
b0241	phoE	asap:ABE-0000823;ecogene:EG10729;ncbigene:944926;ncbigi:16128227;refseq_locus_tag:b0241;refseq_name:phoE;refseq_synonym:ECK0242;refseq_synonym:JW0231;refseq_synonym:ompE;uniprot:P02932	b0241
b0242	proB	asap:ABE-0000830;ecogene:EG10768;ncbigene:946425;ncbigi:16128228;refseq_locus_tag:b0242;refseq_name:proB;refseq_synonym:ECK0243;refseq_synonym:JW0232;refseq_synonym:pro;uniprot:P0A7B5	b0242
b0243	proA	asap:ABE-0000832;ecogene:EG10767;ncbigene:946680;ncbigi:16128229;refseq_locus_tag:b0243;refseq_name:proA;refseq_synonym:ECK0244;refseq_synonym:JW0233;refseq_synonym:pro;uniprot:P07004	b0243
b0260	mmuP	asap:ABE-0000893;ecogene:EG13342;ncbigene:946284;ncbigi:90111105;refseq_locus_tag:b0260;refseq_name:mmuP;refseq_synonym:ECK0262;refseq_synonym:JW5027;refseq_synonym:ykfD;uniprot:Q47689	b0260
b0261	mmuM	asap:ABE-0000895;ecogene:EG13343;ncbigene:946143;ncbigi:16128246;refseq_locus_tag:b0261;refseq_name:mmuM;refseq_synonym:ECK0263;refseq_synonym:JW0253;refseq_synonym:yagD;uniprot:Q47690	b0261
b0268	yagE	asap:ABE-0000921;ecogene:EG13344;ncbigene:944925;ncbigi:345452715;refseq_locus_tag:b0268;refseq_name:yagE;refseq_synonym:ECK0269;refseq_synonym:JW0261;uniprot:P75682	b0268
b0269	yagF	asap:ABE-0000923;ecogene:EG13345;ncbigene:944928;ncbigi:16128254;refseq_locus_tag:b0269;refseq_name:yagF;refseq_synonym:ECK0270;refseq_synonym:JW0262;uniprot:P77596	b0269
b0273	argF	asap:ABE-0000939;ecogene:EG10067;ncbigene:944844;ncbigi:16128258;refseq_locus_tag:b0273;refseq_name:argF;refseq_synonym:Arg5;refseq_synonym:ECK0274;refseq_synonym:JW0266;refseq_synonym:argD;uniprot:P06960	b0273
b0306	ykgE	asap:ABE-0001058;ecogene:EG13582;ncbigene:948438;ncbigi:16128291;refseq_locus_tag:b0306;refseq_name:ykgE;refseq_synonym:ECK0305;refseq_synonym:JW5041;uniprot:P77252	b0306
b0307	ykgF	asap:ABE-0001060;ecogene:EG13583;ncbigene:944980;ncbigi:16128292;refseq_locus_tag:b0307;refseq_name:ykgF;refseq_synonym:ECK0306;refseq_synonym:JW0300;uniprot:P77536	b0307
b0308	ykgG	asap:ABE-0001062;ecogene:EG13584;ncbigene:945906;ncbigi:90111113;refseq_locus_tag:b0308;refseq_name:ykgG;refseq_synonym:ECK0307;refseq_synonym:JW5042;uniprot:P77433	b0308
