#MetaNetX/TSV/peptides.tsv 1.1
#ID	description	xrefs	gene_names
AADAT_HUMAN	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Kynurenine aminotransferase II) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II)	uniprotkb:Q8N5Z0	AADAT;KAT2;KYAT2
AASS_HUMAN	Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]	uniprotkb:Q9UDR5	AASS
AATC2_HUMAN	Putative aspartate aminotransferase, cytoplasmic 2 (EC 2.6.1.1) (Glutamate oxaloacetate transaminase 1-like protein 1) (Transaminase A-like protein 1)	uniprotkb:Q8NHS2	GOT1L1
AATC_HUMAN	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	uniprotkb:P17174	GOT1
AATM_HUMAN	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	uniprotkb:P00505	GOT2;KYAT4
ABCA1_HUMAN	Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	uniprotkb:O95477	ABCA1;ABC1;CERP
ABCA3_HUMAN	Phospholipid-transporting ATPase ABCA3 (EC 7.6.2.1) (ABC-C transporter) (ATP-binding cassette sub-family A member 3) (ATP-binding cassette transporter 3) (ATP-binding cassette 3) (Xenobiotic-transporting ATPase ABCA3) (EC 7.6.2.2) [Cleaved into: 150 Kda mature form]	uniprotkb:Q99758	ABCA3;ABC3
ABCA4_HUMAN	Retinal-specific phospholipid-transporting ATPase ABCA4 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM protein) (RmP) (Retinal-specific ATP-binding cassette transporter) (Stargardt disease protein)	uniprotkb:P78363	ABCA4;ABCR
ABCA8_HUMAN	ABC-type organic anion transporter ABCA8 (EC 7.6.2.-) (ATP-binding cassette sub-family A member 8)	uniprotkb:O94911	ABCA8;KIAA0822
ABCB6_HUMAN	ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)	uniprotkb:Q9NP58	ABCB6;MTABC3;PRP;UMAT
ABCBB_HUMAN	Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11)	uniprotkb:O95342	ABCB11;BSEP
ABCC8_HUMAN	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)	uniprotkb:Q09428	ABCC8;HRINS;SUR;SUR1
ABCC9_HUMAN	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	uniprotkb:O60706	ABCC9;SUR2
ABCD1_HUMAN	ATP-binding cassette sub-family D member 1 (EC 7.6.2.4) (Adrenoleukodystrophy protein) (ALDP)	uniprotkb:P33897	ABCD1;ALD
ABCD2_HUMAN	ATP-binding cassette sub-family D member 2 (Adrenoleukodystrophy-like 1) (Adrenoleukodystrophy-related protein) (hALDR)	uniprotkb:Q9UBJ2	ABCD2;ALD1;ALDL1;ALDR;ALDRP
ABCD3_HUMAN	ATP-binding cassette sub-family D member 3 (70 kDa peroxisomal membrane protein) (PMP70)	uniprotkb:P28288	ABCD3;PMP70;PXMP1
ABCG1_HUMAN	ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP-binding cassette transporter 8) (White protein homolog)	uniprotkb:P45844	ABCG1;ABC8;WHT1
ABCG2_HUMAN	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	uniprotkb:Q9UNQ0	ABCG2;ABCP;BCRP;BCRP1;MXR
ABCG5_HUMAN	ATP-binding cassette sub-family G member 5 (EC 7.6.2.-) (Sterolin-1)	uniprotkb:Q9H222	ABCG5
ABCG8_HUMAN	ATP-binding cassette sub-family G member 8 (EC 7.6.2.-) (Sterolin-2)	uniprotkb:Q9H221	ABCG8
ABD12_HUMAN	Lysophosphatidylserine lipase ABHD12 (EC 3.1.-.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (hABHD12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-)	uniprotkb:Q8N2K0	ABHD12;C20orf22
ABEC4_HUMAN	Putative C->U-editing enzyme APOBEC-4 (EC 3.5.4.-) (Apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 4)	uniprotkb:Q8WW27	APOBEC4;C1orf169
ABHD5_HUMAN	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58)	uniprotkb:Q8WTS1	ABHD5;NCIE2;CGI-58
ABHD6_HUMAN	Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6)	uniprotkb:Q9BV23	ABHD6
ABTB2_HUMAN	Ankyrin repeat and BTB/POZ domain-containing protein 2	uniprotkb:Q8N961	ABTB2
ACACA_HUMAN	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha)	uniprotkb:Q13085	ACACA;ACAC;ACC1;ACCA
ACACB_HUMAN	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	uniprotkb:O00763	ACACB;ACC2;ACCB
ACAD8_HUMAN	Isobutyryl-CoA dehydrogenase, mitochondrial (IBDH) (EC 1.3.8.-) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)	uniprotkb:Q9UKU7	ACAD8;ARC42;IBD
ACAD9_HUMAN	Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.-)	uniprotkb:Q9H845	ACAD9
ACADL_HUMAN	Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)	uniprotkb:P28330	ACADL
ACADM_HUMAN	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7) (Medium chain acyl-CoA dehydrogenase) (MCADH)	uniprotkb:P11310	ACADM
ACADS_HUMAN	Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)	uniprotkb:P16219	ACADS
ACADV_HUMAN	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)	uniprotkb:P49748	ACADVL;VLCAD
ACATN_HUMAN	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	uniprotkb:O00400	SLC33A1;ACATN;AT1
ACBG1_HUMAN	Long-chain-fatty-acid--CoA ligase ACSBG1 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 1) (hBG1) (hsBG) (hsBGM) (Lipidosin)	uniprotkb:Q96GR2	ACSBG1;BGM;KIAA0631;LPD
ACBG2_HUMAN	Long-chain-fatty-acid--CoA ligase ACSBG2 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 2) (Arachidonate--CoA ligase ACSBG2) (EC 6.2.1.15) (Bubblegum-related protein) (PRTD-NY3)	uniprotkb:Q5FVE4	ACSBG2;BGR;UNQ2443/PRO5005
ACBP_HUMAN	Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP)	uniprotkb:P07108	DBI
ACD10_HUMAN	Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-)	uniprotkb:Q6JQN1	ACAD10
ACD11_HUMAN	Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.8.-)	uniprotkb:Q709F0	ACAD11
ACDSB_HUMAN	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)	uniprotkb:P45954	ACADSB
ACE2_HUMAN	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	uniprotkb:Q9BYF1	ACE2;UNQ868/PRO1885
ACER1_HUMAN	Alkaline ceramidase 1 (AlkCDase 1) (Alkaline CDase 1) (EC 3.5.1.-) (EC 3.5.1.23) (Acylsphingosine deacylase 3) (N-acylsphingosine amidohydrolase 3)	uniprotkb:Q8TDN7	ACER1;ASAH3
ACER2_HUMAN	Alkaline ceramidase 2 (AlkCDase 2) (Alkaline CDase 2) (haCER2) (EC 3.5.1.-) (EC 3.5.1.23) (Acylsphingosine deacylase 3-like) (N-acylsphingosine amidohydrolase 3-like)	uniprotkb:Q5QJU3	ACER2;ASAH3L;PP11646
ACER3_HUMAN	Alkaline ceramidase 3 (AlkCDase 3) (Alkaline CDase 3) (EC 3.5.1.-) (EC 3.5.1.23) (Alkaline dihydroceramidase SB89) (Alkaline phytoceramidase) (aPHC)	uniprotkb:Q9NUN7	ACER3;APHC;PHCA
ACES_HUMAN	Acetylcholinesterase (AChE) (EC 3.1.1.7)	uniprotkb:P22303	ACHE
ACE_HUMAN	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	uniprotkb:P12821	ACE;DCP;DCP1
ACLY_HUMAN	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)	uniprotkb:P53396	ACLY
ACMSD_HUMAN	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)	uniprotkb:Q8TDX5	ACMSD
ACO11_HUMAN	Acyl-coenzyme A thioesterase 11 (Acyl-CoA thioesterase 11) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 11) (Adipose-associated thioesterase) (Brown fat-inducible thioesterase) (BFIT) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2)	uniprotkb:Q8WXI4	ACOT11;BFIT;KIAA0707;THEA
ACO12_HUMAN	Acetyl-coenzyme A thioesterase (EC 3.1.2.1) (Acyl-CoA thioester hydrolase 12) (Acyl-coenzyme A thioesterase 12) (Acyl-CoA thioesterase 12) (Cytoplasmic acetyl-CoA hydrolase 1) (CACH-1) (hCACH-1) (START domain-containing protein 15) (StARD15)	uniprotkb:Q8WYK0	ACOT12;CACH;CACH1;STARD15
ACO13_HUMAN	Acyl-coenzyme A thioesterase 13 (Acyl-CoA thioesterase 13) (EC 3.1.2.-) (Hotdog-fold thioesterase superfamily member 2) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Thioesterase superfamily member 2) (THEM2) [Cleaved into: Acyl-coenzyme A thioesterase 13, N-terminally processed]	uniprotkb:Q9NPJ3	ACOT13;THEM2;HT012;PNAS-27
ACOC_HUMAN	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)	uniprotkb:P21399	ACO1;IREB1
ACON_HUMAN	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	uniprotkb:Q99798	ACO2
ACOT1_HUMAN	Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.-) (CTE-I) (CTE-Ib) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2)	uniprotkb:Q86TX2	ACOT1;CTE1
ACOT2_HUMAN	Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (Acyl-coenzyme A thioester hydrolase 2a) (CTE-Ia) (Long-chain acyl-CoA thioesterase 2) (ZAP128)	uniprotkb:P49753	ACOT2;PTE2;PTE2A
ACOT4_HUMAN	Peroxisomal succinyl-coenzyme A thioesterase (EC 3.1.2.3) (Acyl-coenzyme A thioesterase 4) (Acyl-CoA thioesterase 4) (EC 3.1.2.2) (PTE-2b) (Peroxisomal acyl coenzyme A thioester hydrolase Ib) (Peroxisomal long-chain acyl-CoA thioesterase Ib) (PTE-Ib)	uniprotkb:Q8N9L9	ACOT4;PTE2B;PTEIB
ACOT6_HUMAN	Putative acyl-coenzyme A thioesterase 6 (Putative acyl-CoA thioesterase 6) (EC 3.1.2.-)	uniprotkb:Q3I5F7	ACOT6;C14orf42
ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (EC 3.1.2.27) (HIV-Nef-associated acyl-CoA thioesterase) (Peroxisomal acyl-CoA thioesterase 2) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1) (Thioesterase II) (hACTE-III) (hACTEIII) (hTE)	uniprotkb:O14734	ACOT8;ACTEIII;PTE1
ACOT9_HUMAN	Acyl-coenzyme A thioesterase 9, mitochondrial (Acyl-CoA thioesterase 9) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 9)	uniprotkb:Q9Y305	ACOT9;CGI-16
ACOX1_HUMAN	Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (Straight-chain acyl-CoA oxidase) (SCOX) [Cleaved into: Peroxisomal acyl-CoA oxidase 1, A chain; Peroxisomal acyl-CoA oxidase 1, B chain; Peroxisomal acyl-CoA oxidase 1, C chain]	uniprotkb:Q15067	ACOX1;ACOX
ACOX2_HUMAN	Peroxisomal acyl-coenzyme A oxidase 2 (EC 1.17.99.3) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA oxidase) (Trihydroxycoprostanoyl-CoA oxidase) (THCA-CoA oxidase) (THCCox)	uniprotkb:Q99424	ACOX2
ACOX3_HUMAN	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)	uniprotkb:O15254	ACOX3;BRCOX;PRCOX
ACP7_HUMAN	Acid phosphatase type 7 (EC 3.1.3.2) (Purple acid phosphatase long form)	uniprotkb:Q6ZNF0	ACP7;PAPL;PAPL1
ACPM_HUMAN	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	uniprotkb:O14561	NDUFAB1
ACS2A_HUMAN	Acyl-coenzyme A synthetase ACSM2A, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2A) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 2A) (Butyryl-coenzyme A synthetase 2A) (Middle-chain acyl-CoA synthetase 2A)	uniprotkb:Q08AH3	ACSM2A;ACSM2;MACS2
ACS2B_HUMAN	Acyl-coenzyme A synthetase ACSM2B, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2B) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 2B) (Butyryl-coenzyme A synthetase 2B) (Middle-chain acyl-CoA synthetase 2B) (Xenobiotic/medium-chain fatty acid-CoA ligase HXM-A)	uniprotkb:Q68CK6	ACSM2B;ACSM2;HYST1046
ACS2L_HUMAN	Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)	uniprotkb:Q9NUB1	ACSS1;ACAS2L;KIAA1846
ACSA_HUMAN	Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acetyl-CoA synthetase 1) (AceCS1) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme) (Propionate--CoA ligase) (EC 6.2.1.17)	uniprotkb:Q9NR19	ACSS2;ACAS2
ACSF2_HUMAN	Medium-chain acyl-CoA ligase ACSF2, mitochondrial (EC 6.2.1.2)	uniprotkb:Q96CM8	ACSF2;UNQ493/PRO1009
ACSF3_HUMAN	Malonate--CoA ligase ACSF3, mitochondrial (EC 6.2.1.n3) (Acyl-CoA synthetase family member 3)	uniprotkb:Q4G176	ACSF3;PSEC0197
ACSF4_HUMAN	Beta-alanine-activating enzyme (EC 6.2.1.-) (Acyl-CoA synthetase family member 4) (Protein NRPS998)	uniprotkb:Q4L235	AASDH;ACSF4;U26;HSPC318
ACSL1_HUMAN	Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2) (Phytanate--CoA ligase) (EC 6.2.1.24)	uniprotkb:P33121	ACSL1;FACL1;FACL2;LACS;LACS1;LACS2
ACSL3_HUMAN	Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3)	uniprotkb:O95573	ACSL3;ACS3;FACL3;LACS3
ACSL4_HUMAN	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4)	uniprotkb:O60488	ACSL4;ACS4;FACL4;LACS4
ACSL5_HUMAN	Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5)	uniprotkb:Q9ULC5	ACSL5;ACS5;FACL5;UNQ633/PRO1250
ACSL6_HUMAN	Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 6) (LACS 6)	uniprotkb:Q9UKU0	ACSL6;ACS2;FACL6;KIAA0837;LACS5
